구분,품목구분,상품코드,상품명,내포입
상품,기획세트,PD26032700007,[26 감사의달] 케라그로우 선물패키지 2개입,
상품,기획세트,PD25081900006,(25추석) 스킨시너지 6개입 세트,
상품,기획세트,PD25050900001,[GS홈쇼핑] 트리플콜라겐 13개입+레더파우치,
상품,기획세트,PD25050900002,[GS홈쇼핑] 트리플콜라겐 6개입,
상품,기획세트,PD26040300004,볼륨시너지 4개입 세트,
상품,기획세트,PD26041700003,커리쉴 메인 콜라보 키트,
상품,기획세트,PD26041700004,커리쉴 미니어처 트라이얼 키트,
상품,기획세트,PD26010800001,[26설] 설기획세트,
GWP,GWP,PD23090100001,머그컵,
GWP,GWP,PD24111100001,2025 오니스트 이너뷰티 캘린더(바코드부착),
GWP,GWP,PD24112200001,2025 오니스트 이너뷰티 캘린더(할인쿠폰X),
GWP,GWP,PD24121100001,2025 오니스트 이너뷰티 캘린더(바코드부착),
GWP,GWP,PD24012400001,소프트 스트링 파우치,
GWP,GWP,PD24012600001,에코백,
GWP,GWP,PD25012000001,소프트 스트링 파우치(단상자),
GWP,GWP,PD24110600001,레더 파우치,
GWP,GWP,PD24040200001,컬러링북,
GWP,GWP,PD23090100002,코스터,
GWP,GWP,PD24062800002,타월,
GWP,GWP,PD24052200001,트리플샤인 포도 굿즈,
GWP,GWP,PD23052600001,파우치,
GWP,GWP,PD24080100003,리뉴얼 파우치,
GWP,GWP,PD25120500001,트래블 파우치,
GWP,GWP,PD25042500001,트리플샤인 톤팔레트(공용),
GWP,GWP,PD25100100002,KG 스크런치,
GWP,GWP,PD25100100003,KG 괄사콤세트,
GWP,GWP,PD25103000001,KG 두피렌즈 패키지 SET,
GWP,GWP,PD25090900001,레고트 키링,
GWP,GWP,PD25092200001,레고트 텀블러,
GWP,GWP,PD25103000002,(25홀리데이) 오니스트 캘린더,
GWP,GWP,PD25111900001,(25홀리데이) 오니스트 캘린더-바코드,
부자재,부자재,PD23082500001,리플렛,
부자재,부자재,PD25110300018,케라그로우 망고 리플렛,
부자재,부자재,PD24031900001,리플렛(일본),
부자재,부자재,PD25070900001,5주년 오니스트위크 리플렛,
부자재,부자재,PD24062000001,할인 쿠폰 리플렛,
부자재,부자재,PD24101000001,트리플콜라겐 기부증 티켓,
부자재,부자재,PD24032000002,감사카드(카카오-꽃),
부자재,부자재,PD24032000001,생일카드(카카오-체리),
부자재,부자재,PD22081900001,선물카드(외부몰-꽃),
부자재,부자재,PD24032000003,축하카드(카카오-선인장),
부자재,부자재,PD24041900003,종이참(사슴),
부자재,부자재,PD24041900004,종이참(은방울꽃),
부자재,부자재,PD24122300001,정기구독 감사메세지카드,
부자재,부자재,PD24062800001,쇼핑백(타공),
부자재,부자재,PD2204260001,쇼핑백(S),
부자재,부자재,PD22083100001,쇼핑백(L),
부자재,부자재,PD24121100002,쇼핑백(L)-바코드,
부자재,부자재,PD25112100001,쇼핑백(XL)_신형사이즈,
부자재,부자재,PD25042100001,쇼핑백(XL)_구형사이즈,
부자재,부자재,PD24061000001,시너지세트 4개입 상자,
부자재,부자재,PD25060500001,밸런스 세트(본품 4+4) 단상자,
부자재,부자재,PD25021800001,밸런스 세트(7개입 8+8) 상자,
부자재,부자재,PD25091200001,스킨시너지 2개입 단상자,
부자재,부자재,PD23121200001,트리플샤인 포도 2개입 상자,
부자재,부자재,PD24123000002,트리플샤인 포도 4개입 상자,
부자재,부자재,PD23121200002,트리플샤인 포도 6개입상자,
부자재,부자재,PD23112300001,트리플콜라겐 오렌지 2개입 상자1,
